Date Time,MS0311 Flow,MS0311 Level,MS0311 Velocity,MS0312 Flow,MS0312 Level,MS0312 Velocity,MS0208 Flow,MS0208 Level,MS0208 Velocity,MS0207 Flow,MS0207 Level,MS0207 Velocity,MS0522 Flow,MS0522 Level,MS0522 Velocity,MS0131 Flow,MS0131 Level,MS0131 Velocity,MS0356 Flow,MS0356 Level,MS0356 Velocity,PS81CS Flow,PS81SS Flow,PS81TJ Flow,PS81TS Flow
2016-01-23 00:00:00,0.91,0.61,1.64,0.85,0.27,3.92,0.38,0.44,1.16,0.93,0.56,1.84,0.02,0.06,1.06,0.53,0.39,1.45,1.4,0.95,2.1,11.82,0.0,35.04,0.0
2016-01-23 01:00:00,0.88,0.6,1.62,0.78,0.26,3.75,0.33,0.42,1.08,0.86,0.54,1.8,0.01,0.05,0.99,0.51,0.37,1.48,1.27,0.91,2.02,11.87,0.0,35.04,0.0
2016-01-23 02:00:00,0.83,0.59,1.59,0.7,0.26,3.42,0.31,0.41,1.04,0.79,0.52,1.75,0.01,0.05,0.99,0.5,0.37,1.48,1.22,0.89,1.99,11.74,0.0,35.06,0.0
2016-01-23 03:00:00,0.82,0.58,1.59,0.66,0.26,3.24,0.29,0.4,1.02,0.72,0.5,1.7,0.01,0.05,0.97,0.43,0.36,1.26,1.17,0.87,1.96,11.74,0.0,35.04,0.0
2016-01-23 04:00:00,0.8,0.58,1.57,0.68,0.26,3.31,0.29,0.4,1.02,0.67,0.48,1.68,0.01,0.05,0.9,0.47,0.36,1.43,1.12,0.87,1.92,11.44,0.0,35.04,0.0
2016-01-23 05:00:00,0.8,0.58,1.57,0.63,0.25,3.25,0.29,0.4,1.03,0.66,0.48,1.66,0.01,0.05,0.93,0.49,0.36,1.51,1.16,0.87,1.98,10.54,0.0,35.05,0.0
2016-01-23 06:00:00,0.78,0.57,1.58,0.75,0.26,3.34,0.33,0.42,1.07,0.66,0.48,1.67,0.02,0.06,1.03,0.5,0.37,1.5,1.22,0.89,2.0,10.16,0.0,30.35,0.0
2016-01-23 07:00:00,0.8,0.58,1.59,0.67,0.25,3.49,0.38,0.45,1.15,0.71,0.5,1.7,0.03,0.07,1.17,0.56,0.38,1.55,1.32,0.92,2.06,10.38,0.0,0.0,0.0
2016-01-23 08:00:00,0.86,0.59,1.62,1.04,0.31,3.91,0.5,0.49,1.29,0.83,0.53,1.77,0.03,0.09,1.17,0.7,0.41,1.7,1.49,0.98,2.11,10.43,0.0,0.0,0.0
2016-01-23 09:00:00,0.99,0.64,1.66,1.1,0.31,4.25,0.59,0.52,1.4,1.04,0.59,1.92,0.05,0.11,1.25,0.68,0.43,1.48,1.67,1.05,2.13,12.66,0.0,0.0,0.0
